Senior Solution Architect (Java, J2EE, Spring, MVC)	Tòa nhà Ocean Park, Số 1 Đào Duy Anh, Dong Da, Ha Noi	Vua Nệm	https://itviec.com/viec-lam-it/senior-solution-architect-java-j2ee-spring-mvc-vua-nem-4347?lab_feature=preview_jd_page
Full Stack Developer (Java/Kotlin, ReactJS)	29A Nguyen Dinh Chieu, District 1, Ho Chi Minh	GFT Technologies Vietnam	https://itviec.com/viec-lam-it/full-stack-developer-java-kotlin-reactjs-gft-technologies-vietnam-1536?lab_feature=preview_jd_page
Full Stack Developer (Java/Kotlin, ReactJS)	174 Thai Ha, Dong Da, Ha Noi	GFT Technologies Vietnam	https://itviec.com/viec-lam-it/full-stack-developer-java-kotlin-reactjs-gft-technologies-vietnam-1536?lab_feature=preview_jd_page
Backend Golang Team Leader (PHP/Java)	Level 11, Five Star Tower, 28Bis Mac Dinh Chi Street, Da Kao Ward, District 1, Ho Chi Minh	HCL Vietnam Company Limited	https://itviec.com/viec-lam-it/backend-golang-team-leader-php-java-hcl-vietnam-company-limited-1313?lab_feature=preview_jd_page
Backend Golang Team Leader (PHP/Java)	Leadvisors Tower, Level 15, 643 Pham Van Dong Street, Co Nhue Ward, Bac Tu Liem, Ha Noi	HCL Vietnam Company Limited	https://itviec.com/viec-lam-it/backend-golang-team-leader-php-java-hcl-vietnam-company-limited-1313?lab_feature=preview_jd_page
04 Software Engineer (Java/ PHP)	7th FL, Peakview Tower, 36 Hoang Cau Street, Dong Da, Ha Noi	Medici	https://itviec.com/viec-lam-it/back-end-dev-java-php-laravel-medici-5409?lab_feature=preview_jd_page
[All Level] Java Developer (J2EE/Spring) ~ $2000	Tầng 9,10,11,12 Tòa nhà MB Bank, số 21 Cát Linh - Phường Cát Linh, Dong Da, Ha Noi	Mcredit - Công ty Tài chính TNHH MB Shinsei	https://itviec.com/viec-lam-it/all-level-java-developer-j2ee-spring-2000-mcredit-cong-ty-tai-chinh-tnhh-mb-shinsei-4231?lab_feature=preview_jd_page
[All Level] Java Developer (J2EE/Spring) ~ $2000	Tòa Nhà Scetpa Building - 19A Cộng Hòa , Tan Binh, Ho Chi Minh	Mcredit - Công ty Tài chính TNHH MB Shinsei	https://itviec.com/viec-lam-it/all-level-java-developer-j2ee-spring-2000-mcredit-cong-ty-tai-chinh-tnhh-mb-shinsei-4231?lab_feature=preview_jd_page
Technical Leader (Team Leader/Java/Spring/MVC/Database)	90 Nguyễn Tuân, Thanh Xuan, Ha Noi	YODY Fashion	https://itviec.com/viec-lam-it/technical-leader-team-leader-java-spring-mvc-database-yody-fashion-0226?lab_feature=preview_jd_page
Technical Leader (Team Leader/Java/Spring/MVC/Database)	Đường An Định, Phường Việt Hòa, Thành phố Hải Dương	YODY Fashion	https://itviec.com/viec-lam-it/technical-leader-team-leader-java-spring-mvc-database-yody-fashion-0226?lab_feature=preview_jd_page
